ProblemNo,Connection,Cost
41,14313 : 15 -> 27 ; 14266 : 19 -> 33 ; 14307 : 22 -> 23,3
42,23010 : 58 -> 59,1
43,14266 : 8 -> 14,1
44,15043 : 9 -> 11,1
45,15043 : 5 -> 7,1
46,23010 : 35 -> 62,1
47,14313 : 14 -> 27 ; 14266 : 19 -> 50 ; 23010 : 38 -> 64,3
48,23010 : 2 -> 32,1
49,14266 : 35 -> 50 ; 23010 : 38 -> 68,2
50,15009 : 8 -> 27 ; 01656 : 1 -> 13 ; 11005 : 5 -> 38 ; 06063 : 4 -> 7 ; 22651 : 11 -> 13,5
51,02512 : 19 -> 24 ; 11101 : 4 -> 11 ; 11050 : 15 -> 18 ; 11088 : 17 -> 20,4
52,12213 : 7 -> 11 ; 01402 : 1 -> 17 ; 51433 : 47 -> 48,3
53,12401 : 3 -> 26 ; 12395 : 10 -> 12 ; 09807 : 3 -> 7 ; 59811 : 57 -> 62,4
54,59811 : 28 -> 30 ; 08244 : 14 -> 31 ; 12145 : 11 -> 21,3
55,12894 : 2 -> 6 ; 12375 : 21 -> 25 ; 12443 : 6 -> 12 ; 02590 : 8 -> 11,4
56,11005 : 3 -> 31 ; 00852 : 2 -> 7 ; 06336 : 35 -> 36 ; 18416 : 5 -> 8,4
57,59439 : 38 -> 53 ; 12284 : 3 -> 5 ; 06066 : 1 -> 8 ; 12083 : 7 -> 8,4
58,11004 : 12 -> 21 ; 01081 : 2 -> 5 ; 02511 : 3 -> 9 ; 12833 : 55 -> 56,4
59,59208 : 27 -> 41 ; 11087 : 8 -> 26 ; 11017 : 5 -> 8 ; 11019 : 10 -> 15 ; 12791 : 2 -> 3 ; 17234 : 17 -> 18,6
60,19269 : 22 -> 24 ; 23010 : 19 -> 29,01:12:22:00
61,14266 : 10 -> 31 ; 19269 : 24 -> 27,02:10:50:00
62,23010 : 25 -> 32,01:13:31:00
63,23010 : 67 -> 68,01:05:40:00
64,15111 : 6 -> 13 ; 14203 : 1 -> 16 ; 19269 : 24 -> 32,02:16:13:00
65,23010 : 62 -> 65,01:03:08:00
66,23010 : 65 -> 67,01:04:22:00
67,23010 : 63 -> 71,01:06:55:00
68,23010 : 14 -> 42,00:17:55:00
69,14266 : 24 -> 42,01:12:10:00
70,17408 : 4 -> 16 ; 12552 : 27 -> 28 ; 12609 : 11 -> 18 ; 11013 : 24 -> 25 ; 54702 : 3 -> 34 ; 12486 : 4 -> 8 ; 12422 : 6 -> 10 ; 12430 : 1 -> 5,02:03:42:00
71,12865 : 6 -> 7 ; 18515 : 1 -> 2 ; 18189 : 3 -> 8 ; 13351 : 15 -> 18 ; 12860 : 6 -> 13 ; 18030 : 50 -> 52 ; 58839 : 2 -> 32,01:22:20:00
72,13152 : 32 -> 33 ; 12435 : 24 -> 25 ; 14258 : 2 -> 3 ; 12288 : 11 -> 12 ; 12060 : 1 -> 3 ; 14010 : 3 -> 7 ; 22110 : 4 -> 7 ; 11054 : 14 -> 15 ; 17318 : 2 -> 9 ; 11047 : 4 -> 5,02:00:54:00
73,51027 : 6 -> 8 ; 11028 : 48 -> 49 ; 16614 : 23 -> 25 ; 17018 : 15 -> 16 ; 12009 : 3 -> 9 ; 16614 : 33 -> 34 ; 19565 : 8 -> 12 ; 16587 : 23 -> 25 ; 19579 : 9 -> 10 ; 16587 : 27 -> 30 ; 15631 : 5 -> 6 ; 19224 : 43 -> 44,02:04:08:00
74,57550 : 3 -> 6 ; 11402 : 22 -> 27 ; 12132 : 4 -> 5 ; 12113 : 4 -> 5 ; 12137 : 11 -> 38 ; 12418 : 1 -> 3 ; 14650 : 22 -> 24 ; 54075 : 30 -> 31 ; 15011 : 7 -> 11,02:08:18:00
75,12270 : 1 -> 3 ; 12601 : 1 -> 5 ; 16354 : 17 -> 18 ; 17616 : 12 -> 15 ; 12770 : 13 -> 14 ; 57477 : 8 -> 9,02:01:05:00
76,56640 : 22 -> 30 ; 10112 : 1 -> 17 ; 22655 : 17 -> 19 ; 22653 : 19 -> 23 ; 19567 : 32 -> 34 ; 16587 : 20 -> 24 ; 19579 : 7 -> 10 ; 16587 : 27 -> 30 ; 15631 : 5 -> 6 ; 16587 : 31 -> 32 ; 22471 : 1 -> 2,02:09:38:00
77,16232 : 20 -> 21 ; 16859 : 11 -> 19 ; 22852 : 15 -> 18 ; 12836 : 7 -> 9 ; 07323 : 3 -> 10 ; 17430 : 13 -> 21 ; 11014 : 23 -> 30 ; 12158 : 2 -> 3 ; 11045 : 5 -> 6 ; 12627 : 20 -> 21 ; 51422 : 50 -> 51,02:14:07:00
78,58839 : 17 -> 19 ; 58838 : 5 -> 15 ; 12434 : 6 -> 9 ; 12601 : 1 -> 8 ; 16616 : 4 -> 5 ; 16609 : 10 -> 11,02:04:04:00
79,03401 : 1 -> 15 ; 12318 : 18 -> 19 ; 12316 : 18 -> 21 ; 13026 : 23 -> 25 ; 22891 : 1 -> 2 ; 22851 : 2 -> 6 ; 18515 : 12 -> 25 ; 12841 : 10 -> 13 ; 02882 : 4 -> 5 ; 12770 : 1 -> 2 ; 12785 : 1 -> 2 ; 57306 : 44 -> 46 ; 57305 : 15 -> 17,02:16:04:00
